,accuracy,loss,val_accuracy,val_loss
0,0.6200913190841675,0.6727619767189026,0.5,0.6719921827316284
1,0.7423287630081177,0.5452843308448792,0.6711666584014893,0.5820989012718201
2,0.7774885892868042,0.5048871636390686,0.7129999995231628,0.575666606426239
3,0.7935616374015808,0.44935497641563416,0.8413333296775818,0.44022902846336365
4,0.8093607425689697,0.42582589387893677,0.781166672706604,0.4615739583969116
5,0.8317808508872986,0.3896311819553375,0.8293333053588867,0.38751113414764404
6,0.8365296721458435,0.3830214738845825,0.8068333268165588,0.3958122432231903
7,0.8545205593109131,0.3506444990634918,0.8421666622161865,0.3474672734737396
8,0.8564839959144592,0.35615798830986023,0.7929999828338623,0.4282415807247162
9,0.852009117603302,0.35749199986457825,0.8416666388511658,0.357135534286499
