,accuracy,loss,val_accuracy,val_loss
0,0.568447470664978,0.7072119116783142,0.5015000104904175,0.6790672540664673
1,0.6897260546684265,0.6061223149299622,0.6924999952316284,0.6143074631690979
2,0.753333330154419,0.5152343511581421,0.7691666483879089,0.4954676926136017
3,0.7782191634178162,0.4727824330329895,0.7861666679382324,0.46349623799324036
4,0.8152511119842529,0.4297478199005127,0.7896666526794434,0.4821312725543976
5,0.8102282881736755,0.4148538112640381,0.8568333387374878,0.3672465980052948
6,0.8311415314674377,0.39364859461784363,0.8360000252723694,0.37163928151130676
7,0.8435616493225098,0.3498809039592743,0.843666672706604,0.35263967514038086
8,0.8727853894233704,0.3062596023082733,0.8360000252723694,0.3532710671424866
9,0.8584018349647522,0.32519811391830444,0.887499988079071,0.3003588616847992
