,accuracy,loss,val_accuracy,val_loss
0,0.7214611768722534,0.5735176205635071,0.7833333611488342,0.4651557505130768
1,0.8812785148620605,0.30522987246513367,0.8500000238418579,0.8224824070930481
2,0.8721461296081543,0.3019457161426544,0.9333333373069763,0.11964793503284454
3,0.9269406199455261,0.20675326883792877,0.949999988079071,0.2109135389328003
4,0.9269406199455261,0.26018789410591125,0.8999999761581421,0.5386865139007568
5,0.931506872177124,0.28148218989372253,0.949999988079071,0.17949898540973663
6,0.9178082346916199,0.241668239235878,0.8999999761581421,0.23206733167171478
7,0.9543378949165344,0.09284605085849762,0.9666666388511658,0.3293091058731079
8,0.9771689772605896,0.08298208564519882,0.9333333373069763,0.18247462809085846
9,0.9680365324020386,0.1115344986319542,1.0,0.033724211156368256
